# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         12.132
 8.7857      0.032         16.213
 8.7143      0.038         20.234
 8.6429      0.045         24.186
 8.5714      0.051         28.052
 8.5000      0.057         31.815
 8.4286      0.063         35.446
 8.3571      0.069         38.905
 8.2857      0.075         42.126
 8.2143      0.082         44.992
 8.1429      0.088         47.260
 8.0714      0.094         48.243
 8.0000      0.100         40.000
