# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         14.031
 8.7857      0.032         16.023
 8.7143      0.038         17.970
 8.6429      0.045         19.865
 8.5714      0.051         21.699
 8.5000      0.057         23.460
 8.4286      0.063         25.132
 8.3571      0.069         26.692
 8.2857      0.075         28.105
 8.2143      0.082         29.319
 8.1429      0.088         30.237
 8.0714      0.094         30.658
 8.0000      0.100         30.000
