# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         10.909
 8.7857      0.032         13.785
 8.7143      0.038         16.623
 8.6429      0.045         19.415
 8.5714      0.051         22.152
 8.5000      0.057         24.820
 8.4286      0.063         27.402
 8.3571      0.069         29.869
 8.2857      0.075         32.176
 8.2143      0.082         34.241
 8.1429      0.088         35.893
 8.0714      0.094         36.634
 8.0000      0.100         30.000
