# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026          9.354
 8.7857      0.032         10.682
 8.7143      0.038         11.980
 8.6429      0.045         13.244
 8.5714      0.051         14.466
 8.5000      0.057         15.640
 8.4286      0.063         16.755
 8.3571      0.069         17.794
 8.2857      0.075         18.737
 8.2143      0.082         19.546
 8.1429      0.088         20.158
 8.0714      0.094         20.439
 8.0000      0.100         20.000
