# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         11.231
 8.7857      0.032         12.442
 8.7143      0.038         13.628
 8.6429      0.045         14.787
 8.5714      0.051         15.912
 8.5000      0.057         16.995
 8.4286      0.063         18.027
 8.3571      0.069         18.991
 8.2857      0.075         19.862
 8.2143      0.082         20.600
 8.1429      0.088         21.121
 8.0714      0.094         21.223
 8.0000      0.100         20.000
