# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         13.579
 8.7857      0.032         17.100
 8.7143      0.038         20.554
 8.6429      0.045         23.929
 8.5714      0.051         27.211
 8.5000      0.057         30.379
 8.4286      0.063         33.407
 8.3571      0.069         36.253
 8.2857      0.075         38.856
 8.2143      0.082         41.108
 8.1429      0.088         42.800
 8.0714      0.094         43.399
 8.0000      0.100         40.000
