# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         13.981
 8.7857      0.032         17.918
 8.7143      0.038         21.804
 8.6429      0.045         25.629
 8.5714      0.051         29.380
 8.5000      0.057         33.040
 8.4286      0.063         36.585
 8.3571      0.069         39.975
 8.2857      0.075         43.152
 8.2143      0.082         46.006
 8.1429      0.088         48.308
 8.0714      0.094         49.389
 8.0000      0.100         40.000
