# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         15.284
 8.7857      0.032         18.511
 8.7143      0.038         21.672
 8.6429      0.045         24.757
 8.5714      0.051         27.752
 8.5000      0.057         30.637
 8.4286      0.063         33.387
 8.3571      0.069         35.964
 8.2857      0.075         38.310
 8.2143      0.082         40.327
 8.1429      0.088         41.830
 8.0714      0.094         42.372
 8.0000      0.100         40.000
