# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         11.879
 8.7857      0.032         15.698
 8.7143      0.038         19.449
 8.6429      0.045         23.120
 8.5714      0.051         26.695
 8.5000      0.057         30.155
 8.4286      0.063         33.470
 8.3571      0.069         36.598
 8.2857      0.075         39.473
 8.2143      0.082         41.982
 8.1429      0.088         43.897
 8.0714      0.094         44.616
 8.0000      0.100         40.000
