# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         12.939
 8.7857      0.032         13.859
 8.7143      0.038         14.758
 8.6429      0.045         15.632
 8.5714      0.051         16.476
 8.5000      0.057         17.285
 8.4286      0.063         18.050
 8.3571      0.069         18.759
 8.2857      0.075         19.395
 8.2143      0.082         19.928
 8.1429      0.088         20.308
 8.0714      0.094         20.431
 8.0000      0.100         20.000
