# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         12.490
 8.7857      0.032         14.943
 8.7143      0.038         17.352
 8.6429      0.045         19.710
 8.5714      0.051         22.007
 8.5000      0.057         24.228
 8.4286      0.063         26.354
 8.3571      0.069         28.357
 8.2857      0.075         30.189
 8.2143      0.082         31.773
 8.1429      0.088         32.946
 8.0714      0.094         33.277
 8.0000      0.100         30.000
