# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         14.298
 8.7857      0.032         16.563
 8.7143      0.038         18.792
 8.6429      0.045         20.975
 8.5714      0.051         23.105
 8.5000      0.057         25.168
 8.4286      0.063         27.147
 8.3571      0.069         29.016
 8.2857      0.075         30.731
 8.2143      0.082         32.218
 8.1429      0.088         33.321
 8.0714      0.094         33.613
 8.0000      0.100         30.000
