# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         12.820
 8.7857      0.032         13.623
 8.7143      0.038         14.405
 8.6429      0.045         15.165
 8.5714      0.051         15.899
 8.5000      0.057         16.604
 8.4286      0.063         17.274
 8.3571      0.069         17.904
 8.2857      0.075         18.485
 8.2143      0.082         19.006
 8.1429      0.088         19.451
 8.0714      0.094         19.796
 8.0000      0.100         20.000
