# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         15.674
 8.7857      0.032         19.304
 8.7143      0.038         22.884
 8.6429      0.045         26.403
 8.5714      0.051         29.848
 8.5000      0.057         33.203
 8.4286      0.063         36.442
 8.3571      0.069         39.529
 8.2857      0.075         42.403
 8.2143      0.082         44.958
 8.1429      0.088         46.967
 8.0714      0.094         47.778
 8.0000      0.100         40.000
