# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         15.522
 8.7857      0.032         18.993
 8.7143      0.038         22.406
 8.6429      0.045         25.750
 8.5714      0.051         29.011
 8.5000      0.057         32.170
 8.4286      0.063         35.201
 8.3571      0.069         38.064
 8.2857      0.075         40.695
 8.2143      0.082         42.986
 8.1429      0.088         44.710
 8.0714      0.094         45.252
 8.0000      0.100         40.000
