# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         10.610
 8.7857      0.032         13.177
 8.7143      0.038         15.694
 8.6429      0.045         18.152
 8.5714      0.051         20.541
 8.5000      0.057         22.846
 8.4286      0.063         25.046
 8.3571      0.069         27.112
 8.2857      0.075         28.999
 8.2143      0.082         30.627
 8.1429      0.088         31.846
 8.0714      0.094         32.277
 8.0000      0.100         30.000
