 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
1519.509    3.91151e-03    3.92417e-03   -1.26568e-05
1524.675    4.08521e-03    4.12816e-03   -4.29524e-05
1529.831    4.04023e-03    4.03622e-03    4.00761e-06
1534.978    3.95340e-03    3.93452e-03    1.88783e-05
1540.114    4.03388e-03    4.03847e-03   -4.59339e-06
1545.242    4.23908e-03    4.14283e-03    9.62495e-05
1550.360    4.20491e-03    4.15526e-03    4.96491e-05
1555.468    4.08128e-03    4.03723e-03    4.40474e-05
1560.567    4.19139e-03    4.23098e-03   -3.95922e-05
1565.657    4.06987e-03    4.07705e-03   -7.18017e-06
1570.738    4.01179e-03    4.00639e-03    5.40339e-06
1575.809    3.92014e-03    3.91338e-03    6.76163e-06
1580.872    4.05835e-03    3.94768e-03    1.10675e-04
1585.926    3.92523e-03    4.01593e-03   -9.06967e-05
1590.971    3.95257e-03    3.94876e-03    3.80670e-06
1596.007    4.08347e-03    4.07407e-03    9.40302e-06
1601.035    3.98453e-03    3.99753e-03   -1.29978e-05
1606.054    4.11330e-03    4.14385e-03   -3.05517e-05
1611.064    3.95972e-03    3.96198e-03   -2.26140e-06
1616.066    3.94738e-03    3.93203e-03    1.53496e-05
1621.060    4.13661e-03    4.08596e-03    5.06550e-05
1626.045    4.23808e-03    4.22799e-03    1.00929e-05
1631.023    4.20765e-03    4.20404e-03    3.60752e-06
1635.992    3.89027e-03    3.91331e-03   -2.30450e-05
1640.954    3.64555e-03    3.63009e-03    1.54581e-05
1645.907    3.93281e-03    3.91115e-03    2.16628e-05
1650.852    3.86275e-03    3.91703e-03   -5.42758e-05
1655.790    3.96669e-03    3.93693e-03    2.97550e-05
1660.720    3.88077e-03    3.90107e-03   -2.03039e-05
1665.643    3.68900e-03    3.64162e-03    4.73756e-05
1670.558    3.78903e-03    3.78944e-03   -4.14209e-07
1675.466    3.95629e-03    3.93727e-03    1.90230e-05
1680.366    3.72784e-03    3.77131e-03   -4.34656e-05
1685.259    3.82379e-03    3.85654e-03   -3.27479e-05
1690.145    3.75430e-03    3.73958e-03    1.47186e-05
1695.024    3.76303e-03    3.76955e-03   -6.51632e-06
1699.896    3.55957e-03    3.55865e-03    9.15731e-07
1704.761    3.50461e-03    3.50769e-03   -3.07657e-06
1709.619    3.47295e-03    3.48372e-03   -1.07660e-05
1714.471    3.39946e-03    3.41336e-03   -1.39032e-05
1719.315    3.24830e-03    3.29933e-03   -5.10276e-05
1724.153    3.53087e-03    3.50054e-03    3.03279e-05
1728.985    3.82772e-03    3.80530e-03    2.24193e-05
1733.811    3.30646e-03    3.31068e-03   -4.22343e-06
1738.630    3.17941e-03    3.15640e-03    2.30079e-05
1743.442    2.99747e-03    2.97907e-03    1.83986e-05
1748.249    2.93817e-03    2.93433e-03    3.84202e-06
1753.050    2.82357e-03    2.83766e-03   -1.40871e-05
1757.844    2.83357e-03    2.82488e-03    8.68588e-06
1762.633    2.76600e-03    2.79150e-03   -2.54976e-05
1767.416    2.46991e-03    2.47554e-03   -5.63190e-06
1772.193    2.35166e-03    2.35441e-03   -2.74599e-06
1776.965    2.06846e-03    2.07368e-03   -5.22214e-06
1781.731    1.95320e-03    1.94634e-03    6.85809e-06
1786.492    1.88627e-03    1.88369e-03    2.57896e-06
1791.247    1.70058e-03    1.71615e-03   -1.55678e-05
1795.997    1.51386e-03    1.51714e-03   -3.27512e-06
1800.742    1.33835e-03    1.36022e-03   -2.18750e-05
1805.481    1.31492e-03    1.30595e-03    8.97180e-06
1810.216    1.23947e-03    1.23648e-03    2.99075e-06
1814.946    1.14531e-03    1.13991e-03    5.40419e-06
