 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 405.248  1.40212e+00  3.51807e-01  2.71648e-02  8.55859e-02  1.47057e-01  6.56570e-02  1.27819e+00  1.23927e-01  1.17455e-01  2.96021e-02
 406.081  1.38668e+00  3.46699e-01  2.66508e-02  8.43115e-02  1.45328e-01  6.47316e-02  1.26511e+00  1.21575e-01  1.16253e-01  2.90751e-02
 406.913  1.39257e+00  3.46874e-01  2.65479e-02  8.43160e-02  1.45833e-01  6.47950e-02  1.27148e+00  1.21092e-01  1.16838e-01  2.89946e-02
 407.746  1.41743e+00  3.51758e-01  2.68095e-02  8.54617e-02  1.48326e-01  6.57388e-02  1.29517e+00  1.22267e-01  1.19015e-01  2.93106e-02
 408.578  1.44377e+00  3.57001e-01  2.71009e-02  8.66931e-02  1.50973e-01  6.67504e-02  1.32019e+00  1.23579e-01  1.21314e-01  2.96590e-02
 409.411  1.46035e+00  3.59819e-01  2.72053e-02  8.73352e-02  1.52600e-01  6.73086e-02  1.33631e+00  1.24046e-01  1.22795e-01  2.98044e-02
 410.243  1.47636e+00  3.62496e-01  2.72914e-02  8.79451e-02  1.54162e-01  6.78391e-02  1.35192e+00  1.24440e-01  1.24230e-01  2.99319e-02
 411.075  1.49970e+00  3.67007e-01  2.75107e-02  8.90040e-02  1.56488e-01  6.87108e-02  1.37425e+00  1.25446e-01  1.26282e-01  3.02061e-02
 411.907  1.51864e+00  3.70494e-01  2.76526e-02  8.98182e-02  1.58357e-01  6.93886e-02  1.39255e+00  1.26094e-01  1.27964e-01  3.03937e-02
 412.739  1.52224e+00  3.70286e-01  2.75156e-02  8.97416e-02  1.58626e-01  6.93718e-02  1.39678e+00  1.25460e-01  1.28353e-01  3.02733e-02
 413.571  1.51867e+00  3.68373e-01  2.72467e-02  8.92585e-02  1.58146e-01  6.90333e-02  1.39445e+00  1.24216e-01  1.28139e-01  3.00072e-02
 414.403  1.51989e+00  3.67636e-01  2.70644e-02  8.90619e-02  1.58165e-01  6.89145e-02  1.39653e+00  1.23364e-01  1.28329e-01  2.98363e-02
 415.235  1.52334e+00  3.67413e-01  2.69260e-02  8.89846e-02  1.58419e-01  6.88937e-02  1.40063e+00  1.22715e-01  1.28706e-01  2.97133e-02
 416.067  1.51841e+00  3.65120e-01  2.66442e-02  8.83978e-02  1.57804e-01  6.84878e-02  1.39701e+00  1.21405e-01  1.28373e-01  2.94303e-02
 416.899  1.50161e+00  3.59924e-01  2.61580e-02  8.71008e-02  1.55955e-01  6.75400e-02  1.38248e+00  1.19126e-01  1.27038e-01  2.89165e-02
 417.730  1.47722e+00  3.52920e-01  2.55455e-02  8.53649e-02  1.53321e-01  6.62531e-02  1.36099e+00  1.16225e-01  1.25064e-01  2.82570e-02
 418.562  1.45140e+00  3.45656e-01  2.49144e-02  8.35734e-02  1.50542e-01  6.49143e-02  1.33815e+00  1.13253e-01  1.22964e-01  2.75773e-02
 419.393  1.43392e+00  3.40473e-01  2.44295e-02  8.22960e-02  1.48630e-01  6.39621e-02  1.32288e+00  1.11040e-01  1.21561e-01  2.70688e-02
