 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 494.051    6.53648e-02    6.50394e-02    3.25384e-04
 494.879    6.52647e-02    6.52533e-02    1.14072e-05
 495.707    6.47709e-02    6.49422e-02   -1.71297e-04
 496.535    6.42198e-02    6.40629e-02    1.56909e-04
 497.363    6.25998e-02    6.29011e-02   -3.01282e-04
 498.191    6.17426e-02    6.17928e-02   -5.01562e-05
 499.019    6.05565e-02    6.08667e-02   -3.10243e-04
 499.847    6.01746e-02    6.00756e-02    9.90459e-05
 500.675    5.93418e-02    5.94114e-02   -6.96340e-05
 501.502    5.86493e-02    5.89751e-02   -3.25833e-04
 502.330    5.88616e-02    5.88062e-02    5.53842e-05
 503.158    5.86005e-02    5.88530e-02   -2.52488e-04
 503.986    5.92875e-02    5.91862e-02    1.01263e-04
 504.814    5.97140e-02    5.98307e-02   -1.16728e-04
 505.642    6.05847e-02    6.03495e-02    2.35242e-04
 506.469    6.00133e-02    6.02038e-02   -1.90474e-04
 507.297    5.94872e-02    5.95271e-02   -3.99193e-05
 508.125    5.88532e-02    5.89406e-02   -8.74471e-05
 508.953    5.86047e-02    5.87075e-02   -1.02814e-04
 509.780    5.82666e-02    5.86092e-02   -3.42572e-04
 510.608    5.86784e-02    5.84195e-02    2.58898e-04
 511.436    5.80370e-02    5.79771e-02    5.99015e-05
 512.263    5.67172e-02    5.71121e-02   -3.94936e-04
 513.091    5.58500e-02    5.59415e-02   -9.14589e-05
 513.918    5.46855e-02    5.48508e-02   -1.65296e-04
 514.746    5.35402e-02    5.38679e-02   -3.27677e-04
 515.574    5.26420e-02    5.25273e-02    1.14675e-04
 516.401    5.07595e-02    5.07673e-02   -7.84780e-06
 517.229    4.94919e-02    4.94200e-02    7.19083e-05
 518.056    4.91851e-02    4.92308e-02   -4.57317e-05
 518.884    4.98466e-02    5.00292e-02   -1.82589e-04
 519.711    5.10843e-02    5.11923e-02   -1.08043e-04
 520.539    5.22101e-02    5.22125e-02   -2.37356e-06
 521.366    5.27116e-02    5.28056e-02   -9.39809e-05
 522.194    5.31421e-02    5.29954e-02    1.46737e-04
 523.021    5.31042e-02    5.30439e-02    6.03289e-05
 523.849    5.29869e-02    5.30284e-02   -4.14846e-05
 524.676    5.26207e-02    5.26204e-02    3.03226e-07
 525.503    5.15557e-02    5.16301e-02   -7.44292e-05
 526.331    5.07349e-02    5.06069e-02    1.27999e-04
 527.158    5.07440e-02    5.04299e-02    3.14062e-04
 527.986    5.13209e-02    5.12405e-02    8.04440e-05
 528.813    5.22005e-02    5.22927e-02   -9.21881e-05
 529.640    5.27870e-02    5.29244e-02   -1.37358e-04
 530.468    5.29278e-02    5.29760e-02   -4.82394e-05
 531.295    5.23500e-02    5.23827e-02   -3.26510e-05
 532.122    5.15224e-02    5.12467e-02    2.75691e-04
 532.949    5.03663e-02    5.02015e-02    1.64799e-04
 533.777    5.01476e-02    4.99318e-02    2.15789e-04
 534.604    5.02820e-02    5.04096e-02   -1.27627e-04
 535.431    5.08964e-02    5.10239e-02   -1.27530e-04
 536.259    5.13328e-02    5.12875e-02    4.52968e-05
 537.086    5.12972e-02    5.11997e-02    9.74969e-05
 537.913    5.08588e-02    5.09517e-02   -9.28579e-05
 538.740    5.03935e-02    5.05240e-02   -1.30535e-04
 539.567    4.98418e-02    4.98342e-02    7.62565e-06
 540.395    4.91687e-02    4.91139e-02    5.47803e-05
 541.222    4.89118e-02    4.87759e-02    1.35863e-04
 542.049    4.92042e-02    4.89203e-02    2.83908e-04
 542.876    4.95378e-02    4.92762e-02    2.61611e-04
 543.703    4.92518e-02    4.95525e-02   -3.00707e-04
 544.530    4.96316e-02    4.96041e-02    2.74577e-05
 545.358    4.95089e-02    4.94286e-02    8.03008e-05
 546.185    4.88745e-02    4.91129e-02   -2.38384e-04
 547.012    4.89400e-02    4.87225e-02    2.17487e-04
 547.839    4.83902e-02    4.83264e-02    6.38474e-05
 548.666    4.79580e-02    4.80253e-02   -6.73421e-05
 549.493    4.77899e-02    4.78477e-02   -5.78133e-05
 550.320    4.78029e-02    4.77690e-02    3.39015e-05
 551.147    4.77198e-02    4.77800e-02   -6.01873e-05
 551.974    4.83197e-02    4.78292e-02    4.90456e-04
 552.801    4.79800e-02    4.78515e-02    1.28454e-04
 553.628    4.77638e-02    4.78239e-02   -6.00910e-05
 554.455    4.73604e-02    4.76728e-02   -3.12376e-04
 555.283    4.71206e-02    4.72958e-02   -1.75209e-04
 556.110    4.62289e-02    4.67427e-02   -5.13810e-04
 556.937    4.68023e-02    4.61869e-02    6.15367e-04
 557.764    4.48656e-02    4.57218e-02   -8.56164e-04
 558.591    4.58182e-02    4.53861e-02    4.32110e-04
 559.418    4.53932e-02    4.53026e-02    9.05542e-05
 560.245    4.58783e-02    4.54950e-02    3.83345e-04
 561.072    4.61575e-02    4.57070e-02    4.50523e-04
 561.898    4.60291e-02    4.57113e-02    3.17805e-04
 562.725    4.56456e-02    4.55557e-02    8.98515e-05
 563.552    4.58081e-02    4.53174e-02    4.90712e-04
 564.379    4.50469e-02    4.49396e-02    1.07342e-04
 565.206    4.37665e-02    4.44376e-02   -6.71136e-04
 566.033    4.34903e-02    4.40045e-02   -5.14153e-04
 566.860    4.41268e-02    4.37523e-02    3.74539e-04
 567.687    4.30687e-02    4.35247e-02   -4.56020e-04
 568.514    4.34559e-02    4.31538e-02    3.02133e-04
 569.341    4.25204e-02    4.27182e-02   -1.97784e-04
 570.168    4.22652e-02    4.24313e-02   -1.66110e-04
 570.995    4.20068e-02    4.24307e-02   -4.23887e-04
 571.822    4.26858e-02    4.26675e-02    1.83331e-05
 572.648    4.33151e-02    4.29109e-02    4.04214e-04
 573.475    4.24935e-02    4.29201e-02   -4.26570e-04
 574.302    4.20346e-02    4.26545e-02   -6.19878e-04
 575.129    4.18244e-02    4.22959e-02   -4.71481e-04
 575.956    4.20756e-02    4.20586e-02    1.70259e-05
 576.783    4.22685e-02    4.19793e-02    2.89203e-04
 577.609    4.19218e-02    4.19581e-02   -3.63478e-05
 578.436    4.16595e-02    4.19683e-02   -3.08841e-04
 579.263    4.18500e-02    4.20670e-02   -2.17007e-04
 580.090    4.17425e-02    4.22374e-02   -4.94945e-04
 580.917    4.18188e-02    4.24002e-02   -5.81363e-04
 581.744    4.27610e-02    4.25179e-02    2.43123e-04
 582.570    4.31133e-02    4.25642e-02    5.49057e-04
 583.397    4.19289e-02    4.24682e-02   -5.39321e-04
 584.224    4.32643e-02    4.21698e-02    1.09447e-03
 585.051    4.12482e-02    4.16961e-02   -4.47860e-04
 585.877    4.12197e-02    4.11173e-02    1.02443e-04
 586.704    4.07842e-02    4.03828e-02    4.01423e-04
 587.531    3.99268e-02    3.93301e-02    5.96734e-04
 588.358    3.81743e-02    3.80534e-02    1.20942e-04
 589.184    3.69963e-02    3.70696e-02   -7.33334e-05
