 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 405.248    1.03503e-01    1.03411e-01    9.16068e-05
 406.081    1.01871e-01    1.01949e-01   -7.78679e-05
 406.913    1.02234e-01    1.02039e-01    1.95217e-04
 407.746    1.03598e-01    1.03513e-01    8.47031e-05
 408.578    1.05032e-01    1.05092e-01   -5.97299e-05
 409.411    1.05948e-01    1.05956e-01   -7.84264e-06
 410.243    1.06339e-01    1.06779e-01   -4.40056e-04
 411.075    1.08759e-01    1.08141e-01    6.17634e-04
 411.907    1.08994e-01    1.09200e-01   -2.05930e-04
 412.739    1.08929e-01    1.09171e-01   -2.41785e-04
 413.571    1.08827e-01    1.08641e-01    1.86054e-04
 414.403    1.08605e-01    1.08458e-01    1.47304e-04
 415.235    1.08203e-01    1.08424e-01   -2.20570e-04
 416.067    1.08353e-01    1.07778e-01    5.75191e-04
 416.899    1.05978e-01    1.06271e-01   -2.92601e-04
 417.730    1.04009e-01    1.04230e-01   -2.20873e-04
 418.562    1.02002e-01    1.02113e-01   -1.11149e-04
 419.393    1.00889e-01    1.00614e-01    2.74964e-04
 420.225    1.00144e-01    1.00332e-01   -1.88318e-04
 421.056    1.00680e-01    1.00513e-01    1.66672e-04
 421.888    9.97383e-02    9.95691e-02    1.69250e-04
 422.719    9.71507e-02    9.75057e-02   -3.55042e-04
 423.550    9.58096e-02    9.59132e-02   -1.03623e-04
 424.382    9.56133e-02    9.54104e-02    2.02872e-04
 425.213    9.52534e-02    9.49851e-02    2.68326e-04
 426.044    9.34268e-02    9.36710e-02   -2.44183e-04
 426.875    9.15655e-02    9.13058e-02    2.59674e-04
 427.706    8.78005e-02    8.77567e-02    4.37850e-05
 428.537    8.28306e-02    8.28156e-02    1.50244e-05
 429.368    7.76841e-02    7.76263e-02    5.78063e-05
 430.199    7.52267e-02    7.52591e-02   -3.24435e-05
 431.030    7.80128e-02    7.80363e-02   -2.35222e-05
 431.860    8.41825e-02    8.41672e-02    1.52784e-05
