 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 894.195  7.94142e-01  1.35828e-01  1.49866e-03  2.95499e-02  7.41180e-02  2.63887e-02  7.88344e-01  5.79827e-03  7.24396e-02  1.67843e-03
 900.842  7.61168e-01  1.19513e-01  1.39916e-03  2.54031e-02  7.09312e-02  2.33538e-02  7.56123e-01  5.04553e-03  6.94789e-02  1.45237e-03
 907.472  7.64932e-01  1.21856e-01  1.37898e-03  2.60508e-02  7.12886e-02  2.37806e-02  7.59110e-01  5.82232e-03  6.97534e-02  1.53525e-03
 914.084  7.61366e-01  1.18904e-01  1.34670e-03  2.52841e-02  7.09137e-02  2.32370e-02  7.56045e-01  5.32077e-03  6.94717e-02  1.44194e-03
 920.678  7.36418e-01  1.22216e-01  1.28324e-03  2.64163e-02  6.86216e-02  2.37812e-02  7.31509e-01  4.90856e-03  6.72172e-02  1.40444e-03
 927.255  7.28970e-01  1.15415e-01  1.24167e-03  2.46304e-02  6.78730e-02  2.25372e-02  7.24283e-01  4.68686e-03  6.65532e-02  1.31979e-03
 933.815  7.13909e-01  9.34311e-02  1.17875e-03  1.89361e-02  6.63278e-02  1.84216e-02  7.09573e-01  4.33568e-03  6.52015e-02  1.12628e-03
 940.358  6.99602e-01  1.00129e-01  1.13871e-03  2.06993e-02  6.50476e-02  1.97396e-02  6.95343e-01  4.25877e-03  6.38939e-02  1.15373e-03
 946.883  6.96899e-01  9.61636e-02  1.11009e-03  1.97030e-02  6.47548e-02  1.89634e-02  6.92789e-01  4.10976e-03  6.36592e-02  1.09558e-03
 953.391  6.81735e-01  9.67521e-02  1.06679e-03  1.99780e-02  6.33502e-02  1.90610e-02  6.77771e-01  3.96362e-03  6.22792e-02  1.07097e-03
 959.883  6.82800e-01  1.00738e-01  1.05016e-03  2.10596e-02  6.34572e-02  1.97990e-02  6.78881e-01  3.91915e-03  6.23812e-02  1.07600e-03
 966.357  6.70602e-01  1.03681e-01  1.01417e-03  2.19563e-02  6.23386e-02  2.03095e-02  6.66780e-01  3.82181e-03  6.12693e-02  1.06937e-03
 972.814  6.68309e-01  1.07767e-01  9.93445e-04  2.30508e-02  6.21393e-02  2.10588e-02  6.64536e-01  3.77315e-03  6.10631e-02  1.07617e-03
 979.255  6.58611e-01  1.07568e-01  9.60921e-04  2.30589e-02  6.12340e-02  2.10151e-02  6.54942e-01  3.66951e-03  6.01814e-02  1.05251e-03
 985.679  6.53901e-01  1.11208e-01  9.37933e-04  2.40862e-02  6.08131e-02  2.16873e-02  6.50324e-01  3.57695e-03  5.97571e-02  1.05600e-03
 992.086  6.47327e-01  1.11617e-01  9.11783e-04  2.42545e-02  6.01987e-02  2.17520e-02  6.43839e-01  3.48834e-03  5.91612e-02  1.03745e-03
 998.476  6.41201e-01  1.10210e-01  8.83998e-04  2.39314e-02  5.96163e-02  2.14965e-02  6.37821e-01  3.38100e-03  5.86082e-02  1.00804e-03
1004.850  6.12555e-01  1.04441e-01  8.27700e-04  2.26358e-02  5.69381e-02  2.03894e-02  6.09346e-01  3.20888e-03  5.59918e-02  9.46349e-04
1011.208  6.24502e-01  1.06169e-01  8.26058e-04  2.29890e-02  5.80322e-02  2.07324e-02  6.21353e-01  3.14876e-03  5.70951e-02  9.37069e-04
1017.548  6.11797e-01  1.05069e-01  7.92986e-04  2.28367e-02  5.68436e-02  2.04834e-02  6.08774e-01  3.02254e-03  5.59392e-02  9.04352e-04
1023.873  6.07826e-01  1.03227e-01  7.70797e-04  2.23240e-02  5.64584e-02  2.01654e-02  6.04887e-01  2.93879e-03  5.55820e-02  8.76405e-04
1030.181  5.99826e-01  1.02859e-01  7.44827e-04  2.23085e-02  5.57072e-02  2.00679e-02  5.96974e-01  2.85115e-03  5.48549e-02  8.52260e-04
