 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 435.183  1.45117e+00  3.99564e-01  2.23445e-02  9.66893e-02  1.49605e-01  7.32205e-02  1.34854e+00  1.02632e-01  1.23919e-01  2.56863e-02
 436.013  1.48850e+00  4.09011e-01  2.27679e-02  9.89428e-02  1.53368e-01  7.49684e-02  1.38395e+00  1.04559e-01  1.27173e-01  2.61954e-02
 436.844  1.49739e+00  4.10620e-01  2.27573e-02  9.92971e-02  1.54199e-01  7.52803e-02  1.39290e+00  1.04491e-01  1.27995e-01  2.62041e-02
 437.674  1.47887e+00  4.04695e-01  2.23288e-02  9.78287e-02  1.52207e-01  7.42114e-02  1.37636e+00  1.02500e-01  1.26476e-01  2.57305e-02
 438.504  1.46015e+00  3.98719e-01  2.18946e-02  9.63507e-02  1.50192e-01  7.31326e-02  1.35966e+00  1.00481e-01  1.24941e-01  2.52504e-02
 439.335  1.46537e+00  3.99308e-01  2.18182e-02  9.64633e-02  1.50640e-01  7.32565e-02  1.36526e+00  1.00110e-01  1.25456e-01  2.51840e-02
 440.165  1.49394e+00  4.06266e-01  2.20895e-02  9.81163e-02  1.53487e-01  7.45485e-02  1.39259e+00  1.01343e-01  1.27967e-01  2.55203e-02
 440.995  1.53009e+00  4.15243e-01  2.24718e-02  1.00253e-01  1.57113e-01  7.62128e-02  1.42700e+00  1.03089e-01  1.31128e-01  2.59848e-02
 441.825  1.56154e+00  4.22861e-01  2.27812e-02  1.02054e-01  1.60254e-01  7.76306e-02  1.45704e+00  1.04500e-01  1.33889e-01  2.63648e-02
 442.655  1.58385e+00  4.27921e-01  2.29527e-02  1.03229e-01  1.62454e-01  7.85817e-02  1.47858e+00  1.05274e-01  1.35868e-01  2.65853e-02
 443.486  1.59669e+00  4.30366e-01  2.29836e-02  1.03768e-01  1.63679e-01  7.90543e-02  1.49129e+00  1.05403e-01  1.37036e-01  2.66432e-02
 444.316  1.60125e+00  4.30566e-01  2.28950e-02  1.03766e-01  1.64055e-01  7.91147e-02  1.49627e+00  1.04979e-01  1.37494e-01  2.65616e-02
 445.146  1.60235e+00  4.29860e-01  2.27572e-02  1.03549e-01  1.64077e-01  7.90075e-02  1.49803e+00  1.04328e-01  1.37655e-01  2.64219e-02
 445.976  1.61172e+00  4.31418e-01  2.27353e-02  1.03884e-01  1.64944e-01  7.93143e-02  1.50751e+00  1.04207e-01  1.38527e-01  2.64171e-02
 446.805  1.63796e+00  4.37551e-01  2.29502e-02  1.05327e-01  1.67538e-01  8.04604e-02  1.53279e+00  1.05173e-01  1.40850e-01  2.66888e-02
 447.635  1.67473e+00  4.46538e-01  2.33114e-02  1.07460e-01  1.71210e-01  8.21304e-02  1.56792e+00  1.06813e-01  1.44078e-01  2.71325e-02
 448.465  1.71068e+00  4.55320e-01  2.36576e-02  1.09544e-01  1.74797e-01  8.37626e-02  1.60230e+00  1.08387e-01  1.47237e-01  2.75608e-02
 449.295  1.74273e+00  4.63042e-01  2.39451e-02  1.11371e-01  1.77984e-01  8.52006e-02  1.63304e+00  1.09692e-01  1.50062e-01  2.79220e-02
 450.125  1.76803e+00  4.68924e-01  2.41377e-02  1.12751e-01  1.80479e-01  8.63017e-02  1.65747e+00  1.10561e-01  1.52307e-01  2.81719e-02
 450.954  1.77503e+00  4.69897e-01  2.40816e-02  1.12944e-01  1.81105e-01  8.65013e-02  1.66474e+00  1.10286e-01  1.52975e-01  2.81298e-02
 451.784  1.75719e+00  4.64257e-01  2.36902e-02  1.11543e-01  1.79196e-01  8.54847e-02  1.64872e+00  1.08472e-01  1.51502e-01  2.76941e-02
 452.613  1.72940e+00  4.55982e-01  2.31654e-02  1.09509e-01  1.76272e-01  8.39825e-02  1.62336e+00  1.06042e-01  1.49172e-01  2.71005e-02
 453.443  1.71517e+00  4.51330e-01  2.28241e-02  1.08353e-01  1.74731e-01  8.31452e-02  1.61073e+00  1.04449e-01  1.48011e-01  2.67201e-02
 454.273  1.72190e+00  4.52270e-01  2.27647e-02  1.08549e-01  1.75326e-01  8.33344e-02  1.61775e+00  1.04148e-01  1.48657e-01  2.66687e-02
 455.102  1.73915e+00  4.56030e-01  2.28456e-02  1.09429e-01  1.76992e-01  8.40407e-02  1.63466e+00  1.04492e-01  1.50211e-01  2.67817e-02
 455.931  1.75412e+00  4.59200e-01  2.28956e-02  1.10168e-01  1.78426e-01  8.46378e-02  1.64943e+00  1.04694e-01  1.51568e-01  2.68583e-02
 456.761  1.76022e+00  4.60030e-01  2.28291e-02  1.10344e-01  1.78956e-01  8.48040e-02  1.65586e+00  1.04362e-01  1.52159e-01  2.67979e-02
 457.590  1.75754e+00  4.58549e-01  2.26499e-02  1.09964e-01  1.78594e-01  8.45448e-02  1.65402e+00  1.03518e-01  1.51990e-01  2.66045e-02
 458.420  1.75125e+00  4.56115e-01  2.24260e-02  1.09355e-01  1.77866e-01  8.41104e-02  1.64877e+00  1.02480e-01  1.51507e-01  2.63584e-02
 459.249  1.74767e+00  4.54393e-01  2.22383e-02  1.08918e-01  1.77412e-01  8.38069e-02  1.64605e+00  1.01612e-01  1.51258e-01  2.61543e-02
 460.078  1.74945e+00  4.54092e-01  2.21207e-02  1.08824e-01  1.77504e-01  8.37646e-02  1.64839e+00  1.01057e-01  1.51472e-01  2.60315e-02
 460.907  1.75363e+00  4.54434e-01  2.20356e-02  1.08886e-01  1.77840e-01  8.38402e-02  1.65298e+00  1.00642e-01  1.51895e-01  2.59457e-02
 461.737  1.75531e+00  4.54106e-01  2.19206e-02  1.08785e-01  1.77924e-01  8.37934e-02  1.65522e+00  1.00087e-01  1.52100e-01  2.58243e-02
 462.566  1.75309e+00  4.52713e-01  2.17576e-02  1.08420e-01  1.77615e-01  8.35532e-02  1.65377e+00  9.93134e-02  1.51967e-01  2.56473e-02
