 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
1122.896  4.73839e-01  5.76618e-02  4.60209e-04  1.15313e-02  4.38041e-02  1.13003e-02  4.72203e-01  1.63593e-03  4.33899e-02  4.14207e-04
1128.953  4.67805e-01  5.87632e-02  4.49671e-04  1.17745e-02  4.32534e-02  1.15525e-02  4.66210e-01  1.59494e-03  4.28392e-02  4.14145e-04
1134.995  4.62640e-01  5.67786e-02  4.38431e-04  1.13833e-02  4.27647e-02  1.11356e-02  4.61081e-01  1.55868e-03  4.23679e-02  3.96771e-04
1141.021  4.60730e-01  6.11611e-02  4.33697e-04  1.23465e-02  4.26080e-02  1.20610e-02  4.59173e-01  1.55678e-03  4.21926e-02  4.15458e-04
1147.033  4.60594e-01  5.91989e-02  4.27218e-04  1.18928e-02  4.25838e-02  1.16524e-02  4.59106e-01  1.48810e-03  4.21864e-02  3.97348e-04
1153.030  4.57294e-01  6.12222e-02  4.19539e-04  1.24017e-02  4.22835e-02  1.20541e-02  4.55516e-01  1.77860e-03  4.18565e-02  4.27005e-04
1159.012  4.51594e-01  6.64475e-02  4.12639e-04  1.38240e-02  4.17783e-02  1.30404e-02  4.50105e-01  1.48863e-03  4.13594e-02  4.18968e-04
1164.979  4.48808e-01  7.05191e-02  4.06759e-04  1.49717e-02  4.15327e-02  1.37736e-02  4.47301e-01  1.50777e-03  4.11016e-02  4.31079e-04
1170.931  4.48681e-01  7.13659e-02  4.02449e-04  1.52162e-02  4.15205e-02  1.39240e-02  4.47188e-01  1.49312e-03  4.10913e-02  4.29190e-04
1176.869  4.38656e-01  7.02741e-02  3.88773e-04  1.50105e-02  4.05920e-02  1.37080e-02  4.37214e-01  1.44178e-03  4.01749e-02  4.17132e-04
1182.792  4.30391e-01  6.76889e-02  3.76642e-04  1.43981e-02  3.98183e-02  1.32082e-02  4.28991e-01  1.40008e-03  3.94192e-02  3.99067e-04
1188.701  4.25759e-01  6.70708e-02  3.68211e-04  1.42634e-02  3.93872e-02  1.30939e-02  4.24401e-01  1.35810e-03  3.89974e-02  3.89767e-04
1194.595  4.29331e-01  6.84707e-02  3.67341e-04  1.45634e-02  3.97198e-02  1.33824e-02  4.27974e-01  1.35681e-03  3.93258e-02  3.94027e-04
1200.475  4.18100e-01  6.61397e-02  3.53289e-04  1.40448e-02  3.86741e-02  1.29230e-02  4.16810e-01  1.28920e-03  3.83000e-02  3.74092e-04
1206.341  4.17796e-01  6.70692e-02  3.49213e-04  1.43264e-02  3.86423e-02  1.30858e-02  4.16507e-01  1.28859e-03  3.82721e-02  3.70205e-04
1212.193  4.13107e-01  6.61610e-02  3.41146e-04  1.41301e-02  3.82089e-02  1.29150e-02  4.11841e-01  1.26607e-03  3.78433e-02  3.65629e-04
1218.030  4.12784e-01  6.73813e-02  3.37217e-04  1.44832e-02  3.81778e-02  1.31294e-02  4.11530e-01  1.25373e-03  3.78148e-02  3.63094e-04
1223.854  4.08290e-01  6.70936e-02  3.29831e-04  1.44485e-02  3.77620e-02  1.30708e-02  4.07058e-01  1.23118e-03  3.74039e-02  3.58094e-04
1229.663  4.04700e-01  6.75027e-02  3.23879e-04  1.46104e-02  3.74323e-02  1.31353e-02  4.03494e-01  1.20512e-03  3.70764e-02  3.55914e-04
1235.458  4.00476e-01  6.74632e-02  3.17128e-04  1.46374e-02  3.70407e-02  1.31158e-02  3.99296e-01  1.17969e-03  3.66906e-02  3.50076e-04
1241.240  3.95299e-01  6.69228e-02  3.08928e-04  1.45560e-02  3.65583e-02  1.29938e-02  3.94150e-01  1.14887e-03  3.62178e-02  3.40565e-04
1247.008  3.91719e-01  6.61133e-02  3.01645e-04  1.44006e-02  3.62226e-02  1.28218e-02  3.90563e-01  1.15587e-03  3.58881e-02  3.34485e-04
1252.762  3.85766e-01  6.42319e-02  2.93771e-04  1.39399e-02  3.56601e-02  1.24656e-02  3.84677e-01  1.08864e-03  3.53473e-02  3.12795e-04
1258.503  3.80028e-01  6.15858e-02  2.85381e-04  1.32878e-02  3.51126e-02  1.19503e-02  3.78982e-01  1.04595e-03  3.48240e-02  2.88592e-04
1264.230  3.70895e-01  5.81106e-02  2.74753e-04  1.24716e-02  3.42497e-02  1.12454e-02  3.69902e-01  9.92749e-04  3.39896e-02  2.60061e-04
1269.944  3.67755e-01  5.75039e-02  2.68994e-04  1.23642e-02  3.39562e-02  1.11131e-02  3.66793e-01  9.61500e-04  3.37039e-02  2.52197e-04
1275.644  3.69423e-01  5.91676e-02  2.67479e-04  1.27392e-02  3.41231e-02  1.14825e-02  3.68447e-01  9.75599e-04  3.38559e-02  2.67103e-04
1281.331  3.45384e-01  5.61346e-02  2.47352e-04  1.21187e-02  3.19113e-02  1.09098e-02  3.44470e-01  9.13274e-04  3.16528e-02  2.58550e-04
1287.004  3.62155e-01  5.90372e-02  2.56367e-04  1.27558e-02  3.34642e-02  1.14784e-02  3.61204e-01  9.51087e-04  3.31904e-02  2.73836e-04
1292.665  3.60228e-01  5.79787e-02  2.51892e-04  1.24470e-02  3.32845e-02  1.13029e-02  3.59291e-01  9.36199e-04  3.30146e-02  2.69823e-04
1298.312  3.57238e-01  5.62249e-02  2.46647e-04  1.19861e-02  3.30042e-02  1.09829e-02  3.56320e-01  9.17789e-04  3.27416e-02  2.62579e-04
1303.947  3.51322e-01  5.41407e-02  2.39454e-04  1.14551e-02  3.24539e-02  1.05919e-02  3.50416e-01  9.05595e-04  3.21991e-02  2.54845e-04
1309.568  3.49967e-01  5.25981e-02  2.35254e-04  1.10333e-02  3.23232e-02  1.03057e-02  3.49080e-01  8.86901e-04  3.20763e-02  2.46807e-04
1315.177  3.39753e-01  4.96024e-02  2.25134e-04  1.03291e-02  3.13750e-02  9.73101e-03  3.38841e-01  9.12594e-04  3.11355e-02  2.39492e-04
1320.772  3.41405e-01  4.79218e-02  2.23026e-04  9.86186e-03  3.15190e-02  9.42188e-03  3.40601e-01  8.03534e-04  3.12972e-02  2.21708e-04
1326.355  3.37070e-01  4.67180e-02  2.17047e-04  9.57252e-03  3.11165e-02  9.19516e-03  3.36282e-01  7.87865e-04  3.09004e-02  2.16213e-04
1331.926  3.28480e-01  4.15337e-02  2.08088e-04  8.31999e-03  3.03105e-02  8.18424e-03  3.27728e-01  7.51975e-04  3.01143e-02  1.96218e-04
1337.483  3.28825e-01  4.28679e-02  2.06519e-04  8.62550e-03  3.03448e-02  8.45875e-03  3.28086e-01  7.39126e-04  3.01472e-02  1.97532e-04
1343.029  3.26726e-01  4.20480e-02  2.02079e-04  8.40093e-03  3.01491e-02  8.31332e-03  3.26001e-01  7.24199e-04  2.99557e-02  1.93455e-04
1348.562  3.13591e-01  3.54059e-02  1.91205e-04  7.06454e-03  2.89181e-02  6.89147e-03  3.12928e-01  6.62824e-04  2.87544e-02  1.63714e-04
1354.082  2.94893e-01  2.87145e-02  1.76718e-04  5.83952e-03  2.71766e-02  5.42284e-03  2.94299e-01  5.93723e-04  2.70426e-02  1.33936e-04
1359.590  2.68753e-01  1.98229e-02  1.58392e-04  4.26075e-03  2.47518e-02  3.52926e-03  2.68242e-01  5.10574e-04  2.46483e-02  1.03554e-04
1365.086  2.66839e-01  1.95263e-02  1.55224e-04  4.20854e-03  2.45744e-02  3.46429e-03  2.66338e-01  5.01319e-04  2.44733e-02  1.01054e-04
1370.570  2.71191e-01  2.23192e-02  1.55978e-04  4.68850e-03  2.49801e-02  4.06521e-03  2.70672e-01  5.18963e-04  2.48716e-02  1.08558e-04
1376.042  2.84763e-01  2.80062e-02  1.62093e-04  5.69017e-03  2.62401e-02  5.28690e-03  2.84214e-01  5.48934e-04  2.61159e-02  1.24132e-04
