 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 400.000  1.43897e+00  3.31159e-01  2.87543e-02  8.10292e-02  1.51065e-01  6.26137e-02  1.30846e+00  1.30507e-01  1.20237e-01  3.08282e-02
 401.000  1.42578e+00  3.27269e-01  2.82258e-02  8.01386e-02  1.49545e-01  6.18774e-02  1.29769e+00  1.28088e-01  1.19247e-01  3.02975e-02
 402.000  1.50631e+00  3.44499e-01  2.95391e-02  8.43812e-02  1.57855e-01  6.51523e-02  1.37226e+00  1.34048e-01  1.26100e-01  3.17553e-02
 403.000  1.40628e+00  3.18881e-01  2.72995e-02  7.79479e-02  1.47224e-01  6.03976e-02  1.28242e+00  1.23858e-01  1.17844e-01  2.93804e-02
 404.000  1.50648e+00  3.40267e-01  2.89732e-02  8.31866e-02  1.57578e-01  6.44699e-02  1.37507e+00  1.31412e-01  1.26358e-01  3.12203e-02
 405.000  1.37733e+00  3.10311e-01  2.62452e-02  7.59209e-02  1.43949e-01  5.87933e-02  1.25825e+00  1.19080e-01  1.15623e-01  2.83264e-02
 406.000  1.36264e+00  3.04996e-01  2.57182e-02  7.45368e-02  1.42285e-01  5.78449e-02  1.24601e+00  1.16636e-01  1.14498e-01  2.77877e-02
 407.000  1.32307e+00  2.94791e-01  2.47357e-02  7.20269e-02  1.38031e-01  5.59378e-02  1.21087e+00  1.12199e-01  1.11269e-01  2.67618e-02
 408.000  1.42892e+00  3.16732e-01  2.64713e-02  7.73521e-02  1.48942e-01  6.01408e-02  1.30891e+00  1.20006e-01  1.20278e-01  2.86637e-02
 409.000  1.57681e+00  3.47751e-01  2.89405e-02  8.48884e-02  1.64216e-01  6.60732e-02  1.44564e+00  1.31163e-01  1.32842e-01  3.13740e-02
 410.000  1.31426e+00  2.87970e-01  2.38927e-02  7.02156e-02  1.36756e-01  5.47704e-02  1.20599e+00  1.08275e-01  1.10820e-01  2.59360e-02
 411.000  1.53880e+00  3.36208e-01  2.77265e-02  8.20189e-02  1.59989e-01  6.39504e-02  1.41311e+00  1.25692e-01  1.29853e-01  3.01360e-02
 412.000  1.58968e+00  3.45634e-01  2.83766e-02  8.42775e-02  1.65142e-01  6.57830e-02  1.46104e+00  1.28636e-01  1.34257e-01  3.08847e-02
 413.000  1.49721e+00  3.23603e-01  2.64840e-02  7.88298e-02  1.55401e-01  6.16440e-02  1.37717e+00  1.20037e-01  1.26551e-01  2.88507e-02
 414.000  1.46522e+00  3.16482e-01  2.56939e-02  7.72115e-02  1.51968e-01  6.02586e-02  1.34880e+00  1.16412e-01  1.23944e-01  2.80239e-02
 415.000  1.55799e+00  3.34479e-01  2.70704e-02  8.15130e-02  1.61455e-01  6.37447e-02  1.43540e+00  1.22592e-01  1.31901e-01  2.95534e-02
