      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  6.8165829316e-03  9.6943141738e-04  6.8851724842e-03
 1.6000000000e+01  3.7379652102e+00  1.0621466288e+00  3.8859412468e+00
 6.0000000000e+01  2.4039053959e+00  8.2593700625e+00  8.6020901519e+00
 8.0000000000e+00  1.2921762414e+00  7.6987135613e+00  7.8064018560e+00
