      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  6.5773582024e-03  1.5741438160e-04  6.5792416137e-03
 1.6000000000e+01  2.9809388160e+00  6.2764334185e-01  3.0462981452e+00
 6.0000000000e+01  3.8381144881e+00  1.1851128387e+01  1.2457141200e+01
 8.0000000000e+00  3.2593256007e-01  7.8296378842e+00  7.8364189163e+00
