      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.0969689429e-03  5.7543645750e-04  4.1371828139e-03
 1.6000000000e+01  5.4416878600e+00  2.2740268359e+00  5.8977253934e+00
 6.0000000000e+01  6.7554216664e+00  1.0738022450e+01  1.2686246412e+01
 8.0000000000e+00  1.3658457599e+00  7.6298621687e+00  7.7511503245e+00
