      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.8279316014e-03  4.0838918293e-04  4.8451733996e-03
 1.6000000000e+01  4.5779262657e+00  1.5424329928e+00  4.8307875581e+00
 6.0000000000e+01  3.8140208885e+00  1.0711984887e+01  1.1370724496e+01
 8.0000000000e+00  4.8050363342e-01  7.8426362983e+00  7.8573422891e+00
