      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.2640682073e-03  7.4332590899e-04  4.3283727986e-03
 1.6000000000e+01  5.8997409164e+00  2.6041130735e+00  6.4489028354e+00
 6.0000000000e+01  3.0360925289e+00  7.8437201912e+00  8.4108147216e+00
 8.0000000000e+00  1.4053154069e+00  7.6699160419e+00  7.7975972890e+00
