      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  5.0025613452e-03  6.8576545634e-04  5.0493459253e-03
 1.6000000000e+01  3.9400736925e+00  1.0857508833e+00  4.0869347539e+00
 6.0000000000e+01  2.4998730641e+00  7.2890225121e+00  7.7057909730e+00
 8.0000000000e+00  1.6344081518e+00  7.5820401888e+00  7.7561990324e+00
