      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  3.8857171978e-03  1.0268243465e-04  3.8870736838e-03
 1.6000000000e+01  7.2980689658e+00  1.0831854800e+01  1.3061044715e+01
 6.0000000000e+01  5.5651143559e+00  1.1605784318e+01  1.2871081051e+01
 8.0000000000e+00  1.8765424845e+00  7.4277186690e+00  7.6610975925e+00
