      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.9118701136e-03  5.5173826620e-04  4.9427606788e-03
 1.6000000000e+01  5.7497960769e+00  2.4630718598e+00  6.2551481128e+00
 6.0000000000e+01  2.6059870038e+00  7.7246661916e+00  8.1524006302e+00
 8.0000000000e+00  4.7460293265e-01  7.9057773033e+00  7.9200102723e+00
