      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.0431077997e-03  6.7693491322e-04  4.0993855096e-03
 1.6000000000e+01  6.8763647509e+00  3.9923131592e+00  7.9512864712e+00
 6.0000000000e+01  4.1788987494e+00  7.8391813726e+00  8.8834655035e+00
 8.0000000000e+00  1.9521441495e+00  7.4069219949e+00  7.6598537988e+00
