      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  6.6241095178e-03  2.0311368999e-04  6.6272228026e-03
 1.6000000000e+01  3.9700002091e+00  1.1081054245e+00  4.1217471165e+00
 6.0000000000e+01  3.2187836866e+00  9.6139413053e+00  1.0138463189e+01
 8.0000000000e+00  1.0121397819e+00  7.7619696247e+00  7.8276816104e+00
