      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.8131041218e-03  3.4783184066e-04  4.8256562535e-03
 1.6000000000e+01  4.3495067346e+00  1.3336120035e+00  4.5493658690e+00
 6.0000000000e+01  4.1135485702e+00  1.0257796655e+01  1.1051862922e+01
 8.0000000000e+00  2.6517779101e-01  7.8759886948e+00  7.8804515849e+00
