      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  6.6573576003e-03  2.0554640831e-04  6.6605299748e-03
 1.6000000000e+01  3.9556586937e+00  1.0902357046e+00  4.1031511784e+00
 6.0000000000e+01  3.1859913055e+00  9.3345400018e+00  9.8632741848e+00
 8.0000000000e+00  5.6187082662e-01  7.8626392322e+00  7.8826895487e+00
