      Prior error       Noise error   Smoothing error       Total error 
 1.0000000000e+00  4.8718702330e-03  4.3991466834e-04  4.8916913724e-03
 1.6000000000e+01  5.1122115119e+00  1.8756434266e+00  5.4454333901e+00
 6.0000000000e+01  3.8936813156e+00  8.6981047921e+00  9.5298363659e+00
 8.0000000000e+00  1.8534916636e+00  7.4453020062e+00  7.6725454258e+00
